contract_address,pair_address,token_name,current_price_usd,estimated_low_24h,gain_multiple,gain_percent,price_change_m5,price_change_h1,price_change_h6,price_change_h24,pump_timing,pump_strength,volume_h24,volume_h6,volume_h1,volume_m5,volume_concentration_h6_pct,volume_concentration_h1_pct,volume_concentration_m5_pct,buys_h24,sells_h24,buys_h6,sells_h6,buys_h1,sells_h1,buy_sell_ratio_h24,buy_sell_ratio_h6,buy_sell_ratio_h1,buy_sell_ratio_m5,liquidity_usd,liq_to_volume_ratio,avg_trade_size_h24,avg_trade_size_h1,pair_age_hours,outcome_label,base_symbol,quote_symbol
63LfDmNb3MQ8mw9MtZ2To9bEA2M71kZUUGq5tiJxcqj9,4xxm4cdb6mescxm52xvyqknbzvdewwspdzrbctqvguar,Just a moment...,0.006897,0.0068199347374666265,1.0113,1.13,0.67,0.39,4.72,1.13,unknown,0,1521416.42,209807.1,17024.82,486.78,13.79,1.12,0.03,3005,2710,369,541,60,57,1.109,0.682,1.053,6.0,3216760.25,2.1143,266.21,145.51,15661.94,0,GIGA,SOL
Eh36AX4m5CwyCHHcAy95oWRop2EMYVJbLQq7q77hsX9N,5bns2je5vrmvtyqa7x8psyfarja8plfybla5pjgkuyz9,Just a moment...,0.0007382,0.0007382,1.0,0.0,-1.3,-7.39,-12.27,-45.24,unknown,0,1041456.49,151658.5,15890.08,206.14,14.56,1.53,0.02,5053,4051,699,602,48,55,1.247,1.161,0.873,0.0,139347.42,0.1338,114.4,154.27,431.12,0,XAU,SOL
354jgbb56NmBnyd647sPmj8S1md9cBeiCPPhT6pQbonk,5jn7rnf7cdzcwsgqjmnszuux7gsrpwfjkkjhejhkgijc,Just a moment...,0.0005825,0.0004369514665066387,1.3331,33.31,0.0,1.73,7.62,33.31,last_24hours,33.31,315092.45,45394.78,3022.86,0.0,14.41,0.96,0.0,1203,936,183,159,12,12,1.285,1.151,1.0,0,110719.65,0.3514,147.31,125.95,401.03,0,SOMBRERO,USD1
Ce2gx9KGXJ6C9Mp5b5x1sn9Mg87JwEbrQby4Zqo3pump,5wnu5qhdprgrl37ffcd6tmmqzugqgxwafgz477rshthy,Just a moment...,0.02859,0.027993733476941153,1.0213,2.13,0.3,-1.43,4.75,2.13,unknown,0,933052.22,137165.97,11653.54,400.42,14.7,1.25,0.04,1440,1225,186,243,61,14,1.176,0.765,4.357,0,1715629.57,1.8387,350.11,155.38,4186.3,0,neet,SOL
DiiTPZdpd9t3XorHiuZUu4E1FoSaQ7uGN4q9YkQupump,61k5vczcbdxpdd8evk6kq4efdgxc7ktrneyb4zwettsx,Just a moment...,0.00148,0.0011880870193465521,1.2457,24.57,0.5,19.8,30.68,24.57,last_6hours,30.68,575747.2,90035.3,45782.76,186.23,15.64,7.95,0.03,1434,1183,194,141,100,65,1.212,1.376,1.538,0,207235.71,0.3599,220.0,277.47,879.47,0,ELIZABETH,SOL
AcENZyMm3dTwWWyyn2wKK4rzCxEf3F2irYMaWvifpump,6dmxksjyk4tgqlyrcp37avpj5jfclga3uvask9ivjqj9,Just a moment...,1.922e-05,1.922e-05,1.0,0.0,-14.96,-13.32,5.49,-73.72,unknown,0,889843.24,21160.44,5019.69,644.41,2.38,0.56,0.07,8070,6309,237,228,63,40,1.279,1.039,1.575,0.0,16367.54,0.0184,61.88,48.73,23.58,0,BULL,SOL
zGh48JtNHVBb5evgoZLXwgPD2Qu4MhkWdJLGDAupump,6hfajiuutxfzefmdkqsnbvfe6i95nh2wuvj5dwmf7gtw,Just a moment...,0.008937,0.008245225574314974,1.0839,8.39,0.0,-1.44,6.46,8.39,unknown,0,571729.59,67853.56,5444.63,0.0,11.87,0.95,0.0,1054,884,97,154,9,8,1.192,0.63,1.125,0,1177295.93,2.0592,295.01,320.27,8867.2,0,retire,SOL
D7fdJwFg9Ykf4tL9GgiSAugxvbEXcFZRhJ4FEgr5pump,6phh9awhw6gcd31ainmeg4gdagxcetqjdzm9clem9sux,Just a moment...,8.318e-05,8.318e-05,1.0,0.0,0.45,-6.6,77.19,-68.12,last_6hours,77.19,409068.17,78014.0,11961.19,451.52,19.07,2.92,0.11,3129,2506,435,388,60,47,1.249,1.121,1.277,0.25,37648.72,0.092,72.59,111.79,69.18,0,penny,SOL
GMvCfcZg8YvkkQmwDaAzCtHDrrEtgE74nQpQ7xNabonk,6sekz73vph5afymqtzav6h5vaqqlz2c8wqecq6mhlqfk,Just a moment...,0.009478,0.009478,1.0,0.0,0.14,-3.0,-3.01,-15.84,unknown,0,1411931.99,189364.13,27671.9,4134.08,13.41,1.96,0.29,3216,3519,625,521,112,67,0.914,1.2,1.672,7.75,495400.94,0.3509,209.64,154.59,732.75,0,1,USD1
8JhSaRw4ofaAdrDK6oPA3E1GzPoqwFQM9S785qrtZdDC,73reag6apzpa3aeyd1dksw3gnsgww14debrr2kqe3pp8,Just a moment...,0.09374,0.09374,1.0,0.0,-1.17,8.03,-8.09,-18.95,unknown,0,3186750.46,321211.51,77291.57,5606.26,10.08,2.43,0.18,16436,10464,5582,677,4098,118,1.571,8.245,34.729,0.778,266131.28,0.0835,118.47,18.33,436.48,0,HEADFUL,SOL
87B6mb9KBjaF5NHrB3H33f7grdUHi4oWmMErjhZ5bonk,79zkjctkyy6gt92v2yfv9bzr7ehwh2yxfpkskpass24u,Just a moment...,0.0005765,0.0003574307148614297,1.6129,61.29,0.0,4.73,-7.76,61.29,last_24hours,61.29,332708.92,15932.22,1597.82,0.0,4.79,0.48,0.0,881,811,61,51,13,8,1.086,1.196,1.625,0,98335.42,0.2956,196.64,76.09,788.07,0,MMGA,USD1
BFgdzMkTPdKKJeTipv2njtDEwhKxkgFueJQfJGt1jups,7cckzmrxbpfhwyzgpqpukl6beywaetsnhwnwe3jenevc,Just a moment...,0.2157,0.19765417392101164,1.0913,9.13,-0.23,0.24,6.04,9.13,unknown,0,203562.7,26354.21,8826.05,895.52,12.95,4.34,0.44,357,293,53,28,10,9,1.218,1.893,1.111,0.0,641578.16,3.1517,313.17,464.53,2574.93,0,URANUS,USDC
PRVT6TB7uss3FrUd2D9xs2zqDBsa3GbMJMwCQsgmeta,7dvri3qjyd3uobszl3zth8vscgu6r6r2nvfsh7uvfdte,Just a moment...,0.7008,0.7008,1.0,0.0,-0.09,-6.18,-12.25,-9.74,unknown,0,1395404.63,348687.94,107333.2,732.92,24.99,7.69,0.05,814,1628,397,1067,111,81,0.5,0.372,1.37,0.5,1881986.78,1.3487,571.42,559.03,188.22,0,UMBRA,USDC
9v6Bqvg11GodaWybz96vpj8MsShukKVu97kGKbYMpump,7h7ufyzdannxl1r25epvs5tdewtsnrf21eqwrtsiuulz,Just a moment...,0.0002269,7.366883116883118e-05,3.08,208.0,-6.83,-33.39,-31.44,208.0,last_24hours,208.0,2919861.98,311867.29,53018.39,10559.99,10.68,1.82,0.36,20427,15649,2426,1721,423,275,1.305,1.41,1.538,3.214,59902.11,0.0205,80.94,75.96,20.11,1,okayu,SOL
C29ebrgYjYoJPMGPnPSGY1q3mMGk4iDSqnQeQQA7moon,7rqd8fhc1rimv3v9edcrz6rnfsjn1puxm9umjaurjrnj,Just a moment...,0.04049,0.04049,1.0,0.0,0.0,2.02,0.6,-1.79,unknown,0,611304.06,107390.8,14661.79,0.0,17.57,2.4,0.0,392,214,95,24,4,7,1.832,3.958,0.571,0,2744516.22,4.4896,1008.75,1332.89,4244.17,0,NOBODY,SOL
GtDZKAqvMZMnti46ZewMiXCa4oXF4bZxwQPoKzXPFxZn,83g6vzjzlrcnhbslatj94vcprimyyqwun6zfl11mcadl,Just a moment...,0.0149,0.013292889642251763,1.1209,12.09,0.2,-0.95,-4.87,12.09,unknown,0,494763.18,86142.8,17789.56,287.68,17.41,3.6,0.06,513,531,82,64,26,23,0.966,1.281,1.13,0.333,2278745.81,4.6057,473.91,363.05,13736.91,0,nub,SOL
5eMfXSYdssCpnu63WtPprjbbR5YBJmSEnZGRvtuppump,86wxpkhsbblrxe4j1h3sy9d9cco5awuxzur95bal6pfk,Just a moment...,0.0006073,0.0003172936259143155,1.914,91.4,2.25,27.1,1.1,91.4,last_1hour,27.1,1029198.4,99453.07,16999.59,611.1,9.66,1.65,0.06,6205,3905,541,475,62,86,1.589,1.139,0.721,0.75,109929.81,0.1068,101.8,114.86,62.36,0,Poly,SOL
